County,State,Labor Force,Employed,Unemployed,Unemployment Rate,Year
Essex County,VT,"2,841","2,649",192,6.8,2013
Franklin County,VT,"27,490","26,340","1,150",4.2,2013
Grand Isle County,VT,"4,054","3,872",182,4.5,2013
Lamoille County,VT,"13,883","13,094",789,5.7,2013
Orange County,VT,"16,176","15,512",664,4.1,2013
Orleans County,VT,"13,824","12,881",943,6.8,2013
Rutland County,VT,"32,280","30,562","1,718",5.3,2013
Washington County,VT,"34,583","33,092","1,491",4.3,2013
Windham County,VT,"24,092","22,966","1,126",4.7,2013
Windsor County,VT,"30,322","29,054","1,268",4.2,2013
Accomack County,VA,"16,230","15,058","1,172",7.2,2013
Albemarle County,VA,"52,528","49,982","2,546",4.8,2013
Alleghany County,VA,"7,516","7,020",496,6.6,2013
Amelia County,VA,"6,172","5,806",366,5.9,2013
Amherst County,VA,"15,798","14,830",968,6.1,2013
Appomattox County,VA,"7,158","6,696",462,6.5,2013
Arlington County,VA,"145,047","140,035","5,012",3.5,2013
Augusta County,VA,"36,891","34,964","1,927",5.2,2013
Bath County,VA,"2,577","2,441",136,5.3,2013
Bedford County,VA,"38,232","36,052","2,180",5.7,2013
Bland County,VA,"2,877","2,682",195,6.8,2013
Botetourt County,VA,"17,629","16,703",926,5.3,2013
Brunswick County,VA,"6,659","6,035",624,9.4,2013
Buchanan County,VA,"8,169","7,269",900,11,2013
Buckingham County,VA,"6,408","5,900",508,7.9,2013
Campbell County,VA,"26,938","25,332","1,606",6,2013
Caroline County,VA,"14,580","13,550","1,030",7.1,2013
Carroll County,VA,"13,264","12,164","1,100",8.3,2013
Charles City County,VA,"3,789","3,532",257,6.8,2013
Charlotte County,VA,"5,314","4,900",414,7.8,2013
Chesterfield County,VA,"174,669","164,793","9,876",5.7,2013
Clarke County,VA,"7,623","7,261",362,4.7,2013
Craig County,VA,"2,456","2,283",173,7,2013
Culpeper County,VA,"23,378","22,123","1,255",5.4,2013
Cumberland County,VA,"4,508","4,208",300,6.7,2013
Dickenson County,VA,"5,347","4,750",597,11.2,2013
Dinwiddie County,VA,"13,541","12,544",997,7.4,2013
Essex County,VA,"5,685","5,307",378,6.6,2013
Fairfax County,VA,"624,266","596,686","27,580",4.4,2013
Fauquier County,VA,"35,911","34,139","1,772",4.9,2013
Floyd County,VA,"8,387","7,933",454,5.4,2013
Fluvanna County,VA,"13,031","12,409",622,4.8,2013
Franklin County,VA,"27,210","25,604","1,606",5.9,2013
Frederick County,VA,"44,138","41,800","2,338",5.3,2013
Giles County,VA,"8,217","7,643",574,7,2013
Gloucester County,VA,"19,318","18,312","1,006",5.2,2013
Goochland County,VA,"10,371","9,837",534,5.1,2013
Grayson County,VA,"7,011","6,334",677,9.7,2013
Greene County,VA,"9,685","9,218",467,4.8,2013
Greensville County,VA,"4,355","4,018",337,7.7,2013
Halifax County,VA,"15,859","14,409","1,450",9.1,2013
Hanover County,VA,"55,404","52,602","2,802",5.1,2013
Henrico County,VA,"174,077","164,368","9,709",5.6,2013
Henry County,VA,"23,405","21,274","2,131",9.1,2013
Highland County,VA,"1,419","1,358",61,4.3,2013
Isle of Wight County,VA,"18,857","17,773","1,084",5.7,2013
James City County,VA,"33,696","31,896","1,800",5.3,2013
King and Queen County,VA,"3,638","3,416",222,6.1,2013
King George County,VA,"11,975","11,281",694,5.8,2013
King William County,VA,"8,699","8,208",491,5.6,2013
Lancaster County,VA,"5,401","4,995",406,7.5,2013
Lee County,VA,"9,305","8,488",817,8.8,2013
Loudoun County,VA,"191,048","182,680","8,368",4.4,2013
Louisa County,VA,"18,051","17,027","1,024",5.7,2013
Lunenburg County,VA,"5,326","4,950",376,7.1,2013
Madison County,VA,"7,224","6,902",322,4.5,2013
Mathews County,VA,"4,163","3,952",211,5.1,2013
Mecklenburg County,VA,"12,780","11,588","1,192",9.3,2013
Middlesex County,VA,"5,113","4,830",283,5.5,2013
Montgomery County,VA,"49,663","46,856","2,807",5.7,2013
Nelson County,VA,"7,358","6,952",406,5.5,2013
New Kent County,VA,"10,783","10,239",544,5,2013
Northampton County,VA,"6,035","5,485",550,9.1,2013
Northumberland County,VA,"5,690","5,269",421,7.4,2013
Nottoway County,VA,"7,072","6,645",427,6,2013
Orange County,VA,"16,114","15,161",953,5.9,2013
Page County,VA,"11,944","10,841","1,103",9.2,2013
Patrick County,VA,"7,802","7,154",648,8.3,2013
Pittsylvania County,VA,"30,444","28,299","2,145",7,2013
Powhatan County,VA,"13,561","12,871",690,5.1,2013
Prince Edward County,VA,"9,990","9,151",839,8.4,2013
Prince George County,VA,"14,741","13,709","1,032",7,2013
Prince William County,VA,"231,105","219,058","12,047",5.2,2013
Pulaski County,VA,"16,858","15,578","1,280",7.6,2013
Rappahannock County,VA,"3,916","3,715",201,5.1,2013
Richmond County,VA,"3,939","3,695",244,6.2,2013
Roanoke County,VA,"49,826","47,327","2,499",5,2013
Rockbridge County,VA,"10,416","9,811",605,5.8,2013
Rockingham County,VA,"40,622","38,560","2,062",5.1,2013
Russell County,VA,"11,603","10,619",984,8.5,2013
Scott County,VA,"10,003","9,305",698,7,2013
Shenandoah County,VA,"20,940","19,764","1,176",5.6,2013
Smyth County,VA,"13,405","12,189","1,216",9.1,2013
Southampton County,VA,"9,241","8,724",517,5.6,2013
Spotsylvania County,VA,"64,155","60,426","3,729",5.8,2013
Stafford County,VA,"66,087","62,345","3,742",5.7,2013
Surry County,VA,"3,633","3,368",265,7.3,2013
Sussex County,VA,"4,185","3,797",388,9.3,2013
Tazewell County,VA,"17,673","16,146","1,527",8.6,2013
Warren County,VA,"20,087","18,854","1,233",6.1,2013
Washington County,VA,"27,839","26,066","1,773",6.4,2013
Westmoreland County,VA,"9,100","8,475",625,6.9,2013
Wise County,VA,"15,100","13,538","1,562",10.3,2013
Wythe County,VA,"14,001","12,909","1,092",7.8,2013
York County,VA,"31,835","30,123","1,712",5.4,2013
Alexandria city,VA,"93,676","89,882","3,794",4.1,2013
Bristol city,VA,"7,823","7,277",546,7,2013
Buena Vista city,VA,"3,313","3,088",225,6.8,2013
Charlottesville city,VA,"23,398","22,302","1,096",4.7,2013
Chesapeake city,VA,"116,337","109,455","6,882",5.9,2013
Colonial Heights city,VA,"8,661","8,098",563,6.5,2013
Covington city,VA,"2,561","2,346",215,8.4,2013
Danville city,VA,"19,805","17,864","1,941",9.8,2013
Emporia city,VA,"2,382","2,148",234,9.8,2013
Fairfax city,VA,"13,109","12,563",546,4.2,2013
Falls Church city,VA,"7,840","7,534",306,3.9,2013
Franklin city,VA,"3,694","3,351",343,9.3,2013
Fredericksburg city,VA,"13,762","12,872",890,6.5,2013
Galax city,VA,"3,019","2,759",260,8.6,2013
Hampton city,VA,"65,846","60,905","4,941",7.5,2013
Harrisonburg city,VA,"24,034","22,408","1,626",6.8,2013
Hopewell city,VA,"9,657","8,714",943,9.8,2013
Lexington city,VA,"2,252","2,060",192,8.5,2013
Lynchburg city,VA,"35,746","33,209","2,537",7.1,2013
Manassas city,VA,"22,238","21,039","1,199",5.4,2013
Manassas Park city,VA,"8,804","8,356",448,5.1,2013
Martinsville city,VA,"5,700","5,059",641,11.2,2013
Newport News city,VA,"90,473","84,337","6,136",6.8,2013
Norfolk city,VA,"112,762","104,905","7,857",7,2013
Norton city,VA,"1,871","1,715",156,8.3,2013
Petersburg city,VA,"13,777","12,169","1,608",11.7,2013
Poquoson city,VA,"6,346","6,031",315,5,2013
Portsmouth city,VA,"45,482","41,776","3,706",8.1,2013
Radford city,VA,"8,338","7,709",629,7.5,2013
Richmond city,VA,"110,462","102,949","7,513",6.8,2013
Roanoke city,VA,"49,779","46,460","3,319",6.7,2013
Salem city,VA,"13,049","12,289",760,5.8,2013
Staunton city,VA,"11,954","11,259",695,5.8,2013
Suffolk city,VA,"41,983","39,325","2,658",6.3,2013
Virginia Beach city,VA,"231,008","218,514","12,494",5.4,2013
Waynesboro city,VA,"10,028","9,420",608,6.1,2013
Williamsburg city,VA,"6,877","6,349",528,7.7,2013
Winchester city,VA,"14,359","13,524",835,5.8,2013
Adams County,WA,"8,376","7,674",702,8.4,2013
Asotin County,WA,"9,793","9,144",649,6.6,2013
Benton County,WA,"90,301","82,246","8,055",8.9,2013
Chelan County,WA,"40,399","37,461","2,938",7.3,2013
Clallam County,WA,"27,336","24,710","2,626",9.6,2013
Clark County,WA,"208,351","190,701","17,650",8.5,2013
Columbia County,WA,"1,768","1,626",142,8,2013
Cowlitz County,WA,"43,324","39,074","4,250",9.8,2013
Douglas County,WA,"18,914","17,348","1,566",8.3,2013
Ferry County,WA,"2,485","2,150",335,13.5,2013
Franklin County,WA,"38,399","34,773","3,626",9.4,2013
Garfield County,WA,986,913,73,7.4,2013
Grant County,WA,"44,014","40,206","3,808",8.7,2013
Grays Harbor County,WA,"28,125","24,791","3,334",11.9,2013
Island County,WA,"31,776","29,413","2,363",7.4,2013
Jefferson County,WA,"11,424","10,351","1,073",9.4,2013
King County,WA,"1,137,369","1,079,695","57,674",5.1,2013
Kitsap County,WA,"113,691","105,488","8,203",7.2,2013
Kittitas County,WA,"20,207","18,636","1,571",7.8,2013
Klickitat County,WA,"9,722","8,805",917,9.4,2013
Lewis County,WA,"31,352","28,046","3,306",10.5,2013
Lincoln County,WA,"5,090","4,742",348,6.8,2013
Mason County,WA,"23,363","21,030","2,333",10,2013
Okanogan County,WA,"21,002","19,197","1,805",8.6,2013
Pacific County,WA,"7,996","7,096",900,11.3,2013
Pend Oreille County,WA,"4,682","4,125",557,11.9,2013
Pierce County,WA,"384,278","352,223","32,055",8.3,2013
San Juan County,WA,"7,788","7,323",465,6,2013
Skagit County,WA,"56,754","51,876","4,878",8.6,2013
Skamania County,WA,"4,998","4,501",497,9.9,2013
Snohomish County,WA,"388,729","366,189","22,540",5.8,2013
Spokane County,WA,"227,420","208,842","18,578",8.2,2013
Stevens County,WA,"17,734","15,819","1,915",10.8,2013
Thurston County,WA,"122,799","113,494","9,305",7.6,2013
Wahkiakum County,WA,"1,294","1,139",155,12,2013
Walla Walla County,WA,"28,421","26,403","2,018",7.1,2013
Whatcom County,WA,"102,157","94,564","7,593",7.4,2013
Whitman County,WA,"22,211","20,876","1,335",6,2013
Yakima County,WA,"119,049","107,154","11,895",10,2013
Barbour County,WV,"6,708","6,230",478,7.1,2013
Berkeley County,WV,"52,548","49,590","2,958",5.6,2013
Boone County,WV,"8,653","7,826",827,9.6,2013
Braxton County,WV,"5,331","4,783",548,10.3,2013
Brooke County,WV,"10,372","9,572",800,7.7,2013
Cabell County,WV,"42,399","39,956","2,443",5.8,2013
Calhoun County,WV,"2,880","2,588",292,10.1,2013
Clay County,WV,"3,481","3,063",418,12,2013
Doddridge County,WV,"3,517","3,329",188,5.3,2013
Fayette County,WV,"16,983","15,521","1,462",8.6,2013
Gilmer County,WV,"2,751","2,568",183,6.7,2013
Grant County,WV,"5,995","5,505",490,8.2,2013
Greenbrier County,WV,"15,465","14,314","1,151",7.4,2013
Hampshire County,WV,"9,572","8,901",671,7,2013
Hancock County,WV,"13,397","12,309","1,088",8.1,2013
Hardy County,WV,"5,452","4,935",517,9.5,2013
Harrison County,WV,"31,778","30,013","1,765",5.6,2013
Jackson County,WV,"12,024","11,197",827,6.9,2013
Jefferson County,WV,"27,404","26,092","1,312",4.8,2013
Kanawha County,WV,"89,397","84,118","5,279",5.9,2013
Lewis County,WV,"7,359","6,887",472,6.4,2013
Lincoln County,WV,"7,548","6,823",725,9.6,2013
Logan County,WV,"12,378","11,163","1,215",9.8,2013
McDowell County,WV,"6,192","5,406",786,12.7,2013
Marion County,WV,"26,745","25,157","1,588",5.9,2013
Marshall County,WV,"14,300","13,257","1,043",7.3,2013
Mason County,WV,"10,566","9,575",991,9.4,2013
Mercer County,WV,"23,129","21,359","1,770",7.7,2013
Mineral County,WV,"11,895","10,963",932,7.8,2013
Mingo County,WV,"8,480","7,533",947,11.2,2013
Monongalia County,WV,"50,023","47,763","2,260",4.5,2013
Monroe County,WV,"5,677","5,320",357,6.3,2013
Morgan County,WV,"7,439","6,978",461,6.2,2013
Nicholas County,WV,"10,373","9,379",994,9.6,2013
Ohio County,WV,"21,330","20,120","1,210",5.7,2013
Pendleton County,WV,"3,579","3,384",195,5.4,2013
Pleasants County,WV,"2,893","2,682",211,7.3,2013
Pocahontas County,WV,"3,595","3,287",308,8.6,2013
Preston County,WV,"14,631","13,675",956,6.5,2013
Putnam County,WV,"25,958","24,485","1,473",5.7,2013
Raleigh County,WV,"31,791","29,478","2,313",7.3,2013
Randolph County,WV,"11,921","11,061",860,7.2,2013
Ritchie County,WV,"4,555","4,276",279,6.1,2013
Roane County,WV,"5,358","4,803",555,10.4,2013
Summers County,WV,"4,550","4,203",347,7.6,2013
Taylor County,WV,"7,758","7,320",438,5.6,2013
Tucker County,WV,"3,272","3,049",223,6.8,2013
Tyler County,WV,"3,632","3,315",317,8.7,2013
Upshur County,WV,"9,610","8,927",683,7.1,2013
Wayne County,WV,"16,041","14,931","1,110",6.9,2013
Webster County,WV,"3,515","3,153",362,10.3,2013
Wetzel County,WV,"7,282","6,620",662,9.1,2013
Wirt County,WV,"2,318","2,083",235,10.1,2013
Wood County,WV,"38,447","36,064","2,383",6.2,2013
Wyoming County,WV,"8,288","7,522",766,9.2,2013
Adams County,WI,"8,728","7,779",949,10.9,2013
Ashland County,WI,"8,163","7,416",747,9.2,2013
Barron County,WI,"23,646","21,873","1,773",7.5,2013
Bayfield County,WI,"7,760","6,907",853,11,2013
Brown County,WI,"138,058","129,508","8,550",6.2,2013
Buffalo County,WI,"6,552","6,122",430,6.6,2013
Burnett County,WI,"7,488","6,852",636,8.5,2013
Calumet County,WI,"27,183","25,753","1,430",5.3,2013
Chippewa County,WI,"32,980","30,757","2,223",6.7,2013
Clark County,WI,"17,131","15,922","1,209",7.1,2013
Columbia County,WI,"31,235","29,194","2,041",6.5,2013
Crawford County,WI,"8,124","7,459",665,8.2,2013
Dane County,WI,"301,176","287,079","14,097",4.7,2013
Dodge County,WI,"47,380","44,129","3,251",6.9,2013
Door County,WI,"15,743","14,189","1,554",9.9,2013
Douglas County,WI,"23,575","22,013","1,562",6.6,2013
Dunn County,WI,"23,547","22,050","1,497",6.4,2013
Eau Claire County,WI,"57,925","54,651","3,274",5.7,2013
Florence County,WI,"2,196","2,014",182,8.3,2013
Fond du Lac County,WI,"57,075","53,566","3,509",6.1,2013
Forest County,WI,"4,081","3,634",447,11,2013
Grant County,WI,"27,655","26,025","1,630",5.9,2013
Green County,WI,"20,863","19,671","1,192",5.7,2013
Green Lake County,WI,"10,208","9,398",810,7.9,2013
Iowa County,WI,"13,546","12,669",877,6.5,2013
Iron County,WI,"2,728","2,436",292,10.7,2013
Jackson County,WI,"10,149","9,433",716,7.1,2013
Jefferson County,WI,"45,916","43,039","2,877",6.3,2013
Juneau County,WI,"13,481","12,386","1,095",8.1,2013
Kenosha County,WI,"87,142","80,488","6,654",7.6,2013
Kewaunee County,WI,"10,937","10,239",698,6.4,2013
La Crosse County,WI,"66,774","63,237","3,537",5.3,2013
Lafayette County,WI,"9,349","8,845",504,5.4,2013
Langlade County,WI,"9,815","8,923",892,9.1,2013
Lincoln County,WI,"15,183","13,918","1,265",8.3,2013
Manitowoc County,WI,"42,699","39,551","3,148",7.4,2013
Marathon County,WI,"72,133","67,297","4,836",6.7,2013
Marinette County,WI,"21,452","19,753","1,699",7.9,2013
Marquette County,WI,"7,511","6,877",634,8.4,2013
Menominee County,WI,"1,573","1,324",249,15.8,2013
Milwaukee County,WI,"479,051","438,834","40,217",8.4,2013
Monroe County,WI,"22,765","21,198","1,567",6.9,2013
Oconto County,WI,"20,459","18,881","1,578",7.7,2013
Oneida County,WI,"18,597","17,003","1,594",8.6,2013
Outagamie County,WI,"100,500","94,371","6,129",6.1,2013
Ozaukee County,WI,"47,534","45,045","2,489",5.2,2013
Pepin County,WI,"4,031","3,803",228,5.7,2013
Pierce County,WI,"23,999","22,735","1,264",5.3,2013
Polk County,WI,"24,312","22,581","1,731",7.1,2013
Portage County,WI,"38,957","36,265","2,692",6.9,2013
Price County,WI,"6,856","6,384",472,6.9,2013
Racine County,WI,"99,747","91,446","8,301",8.3,2013
Richland County,WI,"9,350","8,782",568,6.1,2013
Rock County,WI,"82,182","75,846","6,336",7.7,2013
Rusk County,WI,"6,736","6,161",575,8.5,2013
St. Croix County,WI,"47,819","45,248","2,571",5.4,2013
Sauk County,WI,"35,391","33,178","2,213",6.3,2013
Sawyer County,WI,"8,191","7,295",896,10.9,2013
Shawano County,WI,"21,470","19,868","1,602",7.5,2013
Sheboygan County,WI,"60,767","57,070","3,697",6.1,2013
Taylor County,WI,"10,992","10,286",706,6.4,2013
Trempealeau County,WI,"16,417","15,500",917,5.6,2013
Vernon County,WI,"15,137","14,234",903,6,2013
Vilas County,WI,"10,182","9,151","1,031",10.1,2013
Walworth County,WI,"56,803","52,916","3,887",6.8,2013
Washburn County,WI,"7,999","7,405",594,7.4,2013
Washington County,WI,"75,272","70,971","4,301",5.7,2013
Waukesha County,WI,"219,053","206,988","12,065",5.5,2013
Waupaca County,WI,"27,361","25,360","2,001",7.3,2013
Waushara County,WI,"11,830","10,816","1,014",8.6,2013
Winnebago County,WI,"91,680","85,827","5,853",6.4,2013
Wood County,WI,"39,012","36,176","2,836",7.3,2013
Albany County,WY,"20,692","19,916",776,3.8,2013
Big Horn County,WY,"5,583","5,293",290,5.2,2013
Campbell County,WY,"25,698","24,607","1,091",4.2,2013
Carbon County,WY,"8,378","8,016",362,4.3,2013
Converse County,WY,"8,108","7,811",297,3.7,2013
Crook County,WY,"3,691","3,527",164,4.4,2013
Fremont County,WY,"21,046","19,848","1,198",5.7,2013
Goshen County,WY,"7,333","7,025",308,4.2,2013
Hot Springs County,WY,"2,557","2,436",121,4.7,2013
Johnson County,WY,"4,478","4,251",227,5.1,2013
Laramie County,WY,"48,587","46,258","2,329",4.8,2013
Lincoln County,WY,"8,165","7,697",468,5.7,2013
Natrona County,WY,"43,105","41,150","1,955",4.5,2013
Niobrara County,WY,"1,381","1,332",49,3.5,2013
Park County,WY,"15,864","15,056",808,5.1,2013
Platte County,WY,"4,804","4,593",211,4.4,2013
Sheridan County,WY,"15,792","14,923",869,5.5,2013
Sublette County,WY,"5,081","4,842",239,4.7,2013
Sweetwater County,WY,"23,883","22,838","1,045",4.4,2013
Teton County,WY,"14,107","13,318",789,5.6,2013
Uinta County,WY,"9,960","9,435",525,5.3,2013
Washakie County,WY,"4,362","4,146",216,5,2013
Weston County,WY,"3,956","3,814",142,3.6,2013
Autauga County,AL,"25,592","24,097","1,495",5.8,2014
Baldwin County,AL,"86,384","81,083","5,301",6.1,2014
Barbour County,AL,"8,845","7,913",932,10.5,2014
Bibb County,AL,"8,559","7,942",617,7.2,2014
Blount County,AL,"24,527","23,023","1,504",6.1,2014
Bullock County,AL,"4,732","4,314",418,8.8,2014
Butler County,AL,"9,270","8,477",793,8.6,2014
Calhoun County,AL,"47,237","43,467","3,770",8,2014
Chambers County,AL,"15,302","14,276","1,026",6.7,2014
Cherokee County,AL,"11,386","10,725",661,5.8,2014
Chilton County,AL,"19,096","17,899","1,197",6.3,2014
Choctaw County,AL,"4,494","4,089",405,9,2014
Clarke County,AL,"8,155","7,162",993,12.2,2014
Clay County,AL,"5,511","5,117",394,7.1,2014
Cleburne County,AL,"5,853","5,467",386,6.6,2014
Coffee County,AL,"20,228","18,884","1,344",6.6,2014
Colbert County,AL,"24,027","22,034","1,993",8.3,2014
Conecuh County,AL,"4,716","4,229",487,10.3,2014
Coosa County,AL,"4,467","4,074",393,8.8,2014
Covington County,AL,"15,911","14,674","1,237",7.8,2014
Crenshaw County,AL,"6,298","5,862",436,6.9,2014
Cullman County,AL,"35,919","33,738","2,181",6.1,2014
Dale County,AL,"20,316","18,878","1,438",7.1,2014
Dallas County,AL,"16,003","14,204","1,799",11.2,2014
DeKalb County,AL,"28,943","26,954","1,989",6.9,2014
Elmore County,AL,"36,543","34,455","2,088",5.7,2014
Escambia County,AL,"14,365","13,215","1,150",8,2014
Etowah County,AL,"43,719","40,639","3,080",7,2014
Fayette County,AL,"6,349","5,851",498,7.8,2014
Franklin County,AL,"13,714","12,653","1,061",7.7,2014
Geneva County,AL,"10,793","10,071",722,6.7,2014
Greene County,AL,"2,985","2,613",372,12.5,2014
Hale County,AL,"6,032","5,436",596,9.9,2014
Henry County,AL,"6,775","6,267",508,7.5,2014
Houston County,AL,"45,142","42,080","3,062",6.8,2014
Jackson County,AL,"23,446","21,743","1,703",7.3,2014
Jefferson County,AL,"312,131","292,505","19,626",6.3,2014
Lamar County,AL,"5,625","5,232",393,7,2014
Lauderdale County,AL,"43,474","40,346","3,128",7.2,2014
Lawrence County,AL,"14,021","12,868","1,153",8.2,2014
Lee County,AL,"71,346","67,358","3,988",5.6,2014
Limestone County,AL,"39,576","37,162","2,414",6.1,2014
Lowndes County,AL,"3,872","3,376",496,12.8,2014
Macon County,AL,"8,237","7,486",751,9.1,2014
Madison County,AL,"170,070","159,573","10,497",6.2,2014
Marengo County,AL,"7,623","7,015",608,8,2014
Marion County,AL,"12,288","11,317",971,7.9,2014
Marshall County,AL,"39,903","37,239","2,664",6.7,2014
Mobile County,AL,"185,318","170,959","14,359",7.7,2014
Monroe County,AL,"7,615","6,773",842,11.1,2014
Montgomery County,AL,"105,004","97,799","7,205",6.9,2014
Morgan County,AL,"56,034","52,336","3,698",6.6,2014
Perry County,AL,"3,489","3,066",423,12.1,2014
Pickens County,AL,"7,760","7,124",636,8.2,2014
Pike County,AL,"14,948","13,846","1,102",7.4,2014
Randolph County,AL,"9,274","8,650",624,6.7,2014
Russell County,AL,"24,767","23,147","1,620",6.5,2014
St. Clair County,AL,"38,507","36,288","2,219",5.8,2014
Shelby County,AL,"107,208","102,400","4,808",4.5,2014
Sumter County,AL,"5,373","4,917",456,8.5,2014
Talladega County,AL,"35,386","32,639","2,747",7.8,2014
Tallapoosa County,AL,"18,416","17,034","1,382",7.5,2014
Tuscaloosa County,AL,"97,049","91,323","5,726",5.9,2014
Walker County,AL,"25,752","23,714","2,038",7.9,2014
Washington County,AL,"6,654","6,015",639,9.6,2014
Wilcox County,AL,"2,864","2,379",485,16.9,2014
Winston County,AL,"9,630","8,802",828,8.6,2014
Aleutians East Borough,AK,"2,225","2,125",100,4.5,2014
Aleutians West Census Area,AK,"4,475","4,260",215,4.8,2014
Anchorage Borough/municipality,AK,"158,075","149,849","8,226",5.2,2014
Bethel Census Area,AK,"7,305","6,131","1,174",16.1,2014
Bristol Bay Borough,AK,497,457,40,8,2014
Denali Borough,AK,"1,072",961,111,10.4,2014
Dillingham Census Area,AK,"2,119","1,906",213,10.1,2014
Fairbanks North Star Borough,AK,"46,792","44,092","2,700",5.8,2014
Haines Borough,AK,"1,113",994,119,10.7,2014
Hoonah-Angoon Census Area,AK,"1,140",967,173,15.2,2014
Juneau Borough/city,AK,"17,460","16,578",882,5.1,2014
Kenai Peninsula Borough,AK,"27,954","25,759","2,195",7.9,2014
Ketchikan Gateway Borough,AK,"7,107","6,548",559,7.9,2014
Kodiak Island Borough,AK,"6,581","6,208",373,5.7,2014
Kusilvak Census Area,AK,"2,828","2,155",673,23.8,2014
Lake and Peninsula Borough,AK,644,539,105,16.3,2014
Matanuska-Susitna Borough,AK,"44,887","41,270","3,617",8.1,2014
Nome Census Area,AK,"4,124","3,617",507,12.3,2014
North Slope Borough,AK,"4,350","4,091",259,6,2014
Northwest Arctic Borough,AK,"3,006","2,494",512,17,2014
Petersburg Borough,AK,"1,583","1,433",150,9.5,2014
Prince of Wales-Hyder Census Area,AK,"2,836","2,457",379,13.4,2014
Sitka Borough/city,AK,"4,682","4,443",239,5.1,2014
Skagway Municipality,AK,805,709,96,11.9,2014
Southeast Fairbanks Census Area,AK,"2,921","2,535",386,13.2,2014
Valdez-Cordova Census Area,AK,"4,884","4,413",471,9.6,2014
Wrangell Borough/city,AK,"1,061",972,89,8.4,2014
Yakutat Borough/city,AK,273,246,27,9.9,2014
Yukon-Koyukuk Census Area,AK,"2,585","2,095",490,19,2014
Apache County,AZ,"21,213","17,890","3,323",15.7,2014
Cochise County,AZ,"50,969","46,682","4,287",8.4,2014
Coconino County,AZ,"72,238","67,117","5,121",7.1,2014
Gila County,AZ,"21,413","19,635","1,778",8.3,2014
Graham County,AZ,"14,442","13,369","1,073",7.4,2014
Greenlee County,AZ,"4,720","4,414",306,6.5,2014
La Paz County,AZ,"7,954","7,351",603,7.6,2014
Maricopa County,AZ,"1,961,997","1,848,119","113,878",5.8,2014
Mohave County,AZ,"78,362","71,531","6,831",8.7,2014
Navajo County,AZ,"41,688","37,075","4,613",11.1,2014
Pima County,AZ,"463,126","435,183","27,943",6,2014
Pinal County,AZ,"153,748","142,996","10,752",7,2014
Santa Cruz County,AZ,"20,297","17,674","2,623",12.9,2014
Yavapai County,AZ,"94,311","88,321","5,990",6.4,2014
Yuma County,AZ,"93,407","72,025","21,382",22.9,2014
Arkansas County,AR,"9,465","8,957",508,5.4,2014
Ashley County,AR,"8,475","7,691",784,9.3,2014
Baxter County,AR,"15,985","14,918","1,067",6.7,2014
Benton County,AR,"115,416","110,110","5,306",4.6,2014
Boone County,AR,"15,663","14,726",937,6,2014
Bradley County,AR,"4,154","3,806",348,8.4,2014
Calhoun County,AR,"2,367","2,211",156,6.6,2014
Carroll County,AR,"12,543","11,894",649,5.2,2014
Chicot County,AR,"3,851","3,448",403,10.5,2014
Clark County,AR,"9,517","8,858",659,6.9,2014
Clay County,AR,"6,413","5,912",501,7.8,2014
Cleburne County,AR,"9,746","8,940",806,8.3,2014
Cleveland County,AR,"3,455","3,220",235,6.8,2014
Columbia County,AR,"9,539","8,857",682,7.1,2014
Conway County,AR,"8,596","7,982",614,7.1,2014
Craighead County,AR,"49,474","46,787","2,687",5.4,2014
Crawford County,AR,"26,799","25,198","1,601",6,2014
Crittenden County,AR,"21,431","19,852","1,579",7.4,2014
Cross County,AR,"8,098","7,584",514,6.3,2014
Dallas County,AR,"2,878","2,610",268,9.3,2014
Desha County,AR,"5,551","5,104",447,8.1,2014
Drew County,AR,"7,984","7,312",672,8.4,2014
Faulkner County,AR,"59,036","55,766","3,270",5.5,2014
Franklin County,AR,"7,288","6,875",413,5.7,2014
Fulton County,AR,"4,801","4,524",277,5.8,2014
Garland County,AR,"40,337","37,787","2,550",6.3,2014
Grant County,AR,"8,221","7,773",448,5.4,2014
Greene County,AR,"19,626","18,386","1,240",6.3,2014
Hempstead County,AR,"9,926","9,334",592,6,2014
Hot Spring County,AR,"13,977","13,170",807,5.8,2014
Howard County,AR,"6,195","5,836",359,5.8,2014
Independence County,AR,"15,481","14,278","1,203",7.8,2014
Izard County,AR,"4,916","4,547",369,7.5,2014
Jackson County,AR,"6,191","5,621",570,9.2,2014
Jefferson County,AR,"29,502","26,927","2,575",8.7,2014
Johnson County,AR,"10,296","9,623",673,6.5,2014
Lafayette County,AR,"2,661","2,454",207,7.8,2014
Lawrence County,AR,"7,084","6,572",512,7.2,2014
Lee County,AR,"3,251","3,006",245,7.5,2014
Lincoln County,AR,"4,214","3,916",298,7.1,2014
Little River County,AR,"5,544","5,181",363,6.5,2014
Logan County,AR,"9,079","8,537",542,6,2014
Lonoke County,AR,"32,741","31,075","1,666",5.1,2014
Madison County,AR,"6,967","6,631",336,4.8,2014
Marion County,AR,"6,535","6,125",410,6.3,2014
Miller County,AR,"19,371","18,246","1,125",5.8,2014
Mississippi County,AR,"19,074","17,319","1,755",9.2,2014
Monroe County,AR,"3,093","2,885",208,6.7,2014
Montgomery County,AR,"3,349","3,082",267,8,2014
Nevada County,AR,"3,683","3,460",223,6.1,2014
Newton County,AR,"3,362","3,167",195,5.8,2014
